福州浩威金属制品有限公司	总经理：胡英	地址：福建闽侯县兰圃工业区318号
中国邮电工会闽侯县电信局委员会	联系人：杨德权	地址：福建省福州市闽侯县甘蔗镇街心路１４２号
闽侯县电信局职工技协服务部	老板：杨德权	地址：福建省福州市闽侯县甘蔗镇街心路１４２号
福建移动通信有限责任公司闽侯分公司	总经理：吴屹飚	地址：福建省福州市闽侯县甘蔗镇入城路中段　　负责人：吴屹飚
闽侯县医药公司新药特药门市部	老板：洪茂滔	地址：福建省福州市闽侯县甘蔗镇入城路６９号
福建省闽侯县烟草公司青口批发部	老板：何宗炳	地址：福建省福州市闽侯县青口镇青口村
闽侯县医药公司第二门市部	老板：叶龙泉	地址：福建省福州市闽侯县甘蔗镇甘洲路３１号
闽侯县医药公司工会委员会	联系人：唐国光	地址：福建省福州市闽侯县甘蔗镇街心路６３号
闽侯县竹岐乡林飞厨房用具店G	null	地址：福建省福州市闽侯县竹岐乡竹岐街116号
闽侯县祥谦永进鸡场	null	地址：福建省福州市闽侯县祥谦镇卜洲村富沙
闽侯县辉发水产养殖有限公司	null	地址：福建省福州市闽侯县荆溪镇溪下村
闽侯县青口明东养猪场	null	地址：福建省福州市闽侯县青口镇村里村浦尾
闽侯县梅溪第七养猪场	null	地址：福建省福州市闽侯县青口镇梅溪村
闽侯县南旗顺德畜牧水产养殖场	null	地址：福建省福州市闽侯县南屿镇南旗村水西
闽侯县荆溪祥秀养猪场	联系人：梁祥秀	地址：福建省福州市闽侯县荆溪镇永丰村
闽侯县生猪定点屠宰联合执法队	队长：肖祖锦	地址：福建省福州市闽侯县甘蔗镇街心路１００号
闽侯县洋里乡茶场农业组	联系人：吴华彬	地址：福建省福州市闽侯县洋里乡坪古洋
福建省闽侯县闽江渔业有限公司	null	地址：福建省福州市闽侯县闽江乡峡南
闽侯县南屿茗香茶厂	厂长：谢金旺	地址：福建省福州市闽侯县南屿镇后山村
福建省闽侯县上街第三茶厂	null	地址：福建省福州市闽侯县上街镇联心村
福建省闽侯县苗圃	null	地址：福建省福州市闽侯县白沙镇溪头村南山１０号
闽侯县大湖乡双溪茶场	null	地址：福建省福州市闽侯县大湖乡双溪村
福建省闽侯县太福制茶厂	null	地址：福建省福州市闽侯县青口梅岭梅新路62号
闽侯县祥谦闽中种猪场	联系人：林建乐	地址：福建省福州市闽侯县祥谦镇岐尾村
福建省闽侯县尚干华富茶厂	null	地址：福建省福州市闽侯县尚干镇后浦村５４号
闽侯县尚干立华养猪场	null	地址：福建省福州市闽侯县尚干镇浦里村
闽侯县青口镇后福第十一养猪场	null	地址：福建省福州市闽侯县青口镇后福村
闽侯县青口宏二第五养猪场	null	地址：福建省福州市闽侯县青口镇宏二村
闽侯县鸿尾志基养猪场G	null	地址：福建省福州市闽侯县鸿尾乡安樟村
闽侯县青口青梅制茶厂	成立日期：1993/3/16	地址：中国 福建 福州市 闽侯县青口镇梅岭村
闽侯县青口镇后福第十养猪场	null	地址：福建省福州市闽侯县青口镇后福村
闽侯县青口金钓钗养猪场	null	地址：福建省福州市闽侯县青口镇付竹村过溪
闽侯县南通顺风养猪场	null	地址：福建省福州市闽侯县南通镇瓜山村
闽侯县青口宏二第四养猪场	null	地址：福建省福州市闽侯县青口镇宏二村
闽侯县上街镇金屿畜牧场	null	地址：福建省福州市闽侯县上街镇金屿村
闽侯县荆溪水产养殖场	null	地址：福建省福州市闽侯县荆溪镇溪下村
闽侯县南屿镇三南林场	null	地址：福建省福州市闽侯县南屿镇南前村
福建省闽侯县青口制茶厂	null	地址：福建省福州市闽侯县青口镇工业路６号
闽侯县廷坪联兴良种猪繁育场	联系人：李强余	地址：福建省福州市闽侯县廷坪乡下洋村
闽侯县科南良种场	联系人：唐忠炳	地址：福建省福州市闽侯县南屿镇高岐村
闽侯县竹岐榕中养鸡场	null	地址：福建省福州市闽侯县竹岐榕中养鸡场
福建省闽侯意丰水产养殖场	null	地址：福建省福州市闽侯县祥谦镇江中村
闽侯县青口梅溪第九养猪场	联系人：林万江	地址：福建省福州市闽侯县青口镇梅溪村
闽侯县上街沙当养猪场G	null	地址：福建省福州市闽侯县上街镇红峰村沙当16号
闽侯县青口吉山第五养猪场	null	地址：福建省福州市闽侯县青口镇梅溪村
闽侯县青口镇宏一第三养猪场	联系人：吴增禄	地址：福建省福州市闽侯县青口镇宏一村
闽侯县荆溪镇桐口养猪场	null	地址：福建省福州市闽侯县荆溪镇桐口村
福州市明丰水产养殖有限公司	总经理：邓保红	地址：福建省福州市闽侯县荆溪镇光明村
闽侯县青口后福第十四养猪场	null	地址：福建省福州市闽侯县青口镇后福村
闽侯县青口后福十三养猪场	null	地址：福建省福州市闽侯县青口镇后福村
福建省地方国营闽侯白沙农场	null	地址：福建省福州市闽侯县白沙镇孔元68号
福州将军山综合农场有限公司	总经理：吴龙振	地址：福建省福州市闽侯县荆溪镇关西村　　　　法定代表人：
福州嘉梅农场有限公司	总经理：黄秀芷	地址：福建省福州市闽侯县洋里乡　　　　　　　法定代表人：黄秀芷
闽侯县鸿尾综合农场	null	地址：福建省福州市闽侯县鸿尾乡千里洋
福州市江洋农场彭湖村民委员会	null	地址：福建省福州市闽侯县江洋农场彭湖
福建省闽侯金田果菜农场	联系人：张学腾	地址：福建省福州市闽侯县白沙镇大濑村
闽侯县青口镇宏屿大红里农场	null	地址：福建省福州市闽侯县青口镇宏屿村大红里
福建省闽侯县鸿尾南华综合贸易农场	null	地址：福建省福州市闽侯县鸿尾乡南坑村
闽侯县南屿镇畜牧兽医站	null	地址：福建省福州市闽侯县南屿镇畜牧兽医站南屿镇新桥
闽侯县白沙镇畜牧兽医站	null	地址：福建省福州市闽侯县白沙镇安平路９０号
闽侯县青口镇畜牧兽医站	null	地址：福建省福州市闽侯县青口镇青口村
福建省闽侯县上街古井茶厂	厂长：陈依海	地址：福建省福州市闽侯县上街镇马保村古井７号
闽侯县畜牧兽医学会	null	地址：福建省福州市闽侯县甘蔗镇交通路2号
福建省闽候县上街第一茶厂	null	地址：福建省福州市闽侯县上街镇浦口村
闽侯县鸿尾乡畜牧兽医站	null	地址：福建省福州市闽侯县鸿尾石佛头街
福建省闽侯县园艺场	联系人：叶延青	地址：福建省福州市闽侯县荆溪镇关东村
闽侯县小箬乡畜牧兽医站	站长：余永建	地址：福建省福州市闽侯县小箬乡政府内
闽侯县大湖乡股份果林场	null	地址：福建省福州市闽侯县大湖乡大湖村
闽侯县上洲绿海园艺场	联系人：林硕坤	地址：福建省福州市闽侯县南通镇上洲村
福建省闽侯山前制茶厂	厂长：胡桂富	地址：福建省福州市闽侯县甘蔗镇山前后街２号
福建省闽侯县甘蔗富民种苗场	null	地址：福建省福州市闽侯县甘蔗镇长江墩园洲
福州闽祥茶厂	厂长：林祥勇	地址：福建省福州市闽侯县祥谦镇枕峰工业区
福建省闽侯县龙山茶厂	厂长：江敏	地址：福建省福州市闽侯县洋里乡洋里村１４３号
福建省闽侯县上街石沙茶厂	null	地址：福建省福州市闽侯县上街镇马保村
福建省闽侯县闽江第二茶厂	null	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县青口向阳苗圃场	null	地址：福建省福州市闽侯县青口镇溪东村
闽侯县上街余三茶厂	厂长：王志	地址：福建省福州市闽侯县上街镇金屿村金桥
闽侯县上街浦联茶厂	null	地址：福建省福州市闽侯县上街镇联心村
福建省闽侯县白沙振兴茶厂	null	地址：福建省福州市闽侯县白沙镇长坪园
闽侯县上街第八茶厂	null	地址：福建省福州市闽侯县上街镇联心村
闽侯县尚干镇畜牧兽医站	null	地址：福建省福州市闽侯县尚干镇祥谦路２６号
闽侯县闽星茶厂	null	地址：福建省福州市闽侯县闽江兴星村
福州市江洋农场角洋村民委员会	null	地址：福建省福州市闽侯县江洋农场角洋村
福州市江洋农场武竹村民委员会	null	地址：福建省福州市闽侯县江洋农场武竹村
闽侯县大湖乡马乾农业综合开发农场	联系人：蓊启坚	地址：福建省福州市闽侯县大湖乡马乾村
福州市江洋农场江洋村民委员会	null	地址：福建省福州市闽侯县江洋农场江洋村
闽饫县青口镇第二采石场	null	地址：福建省福州市闽侯县青口镇龙双莲电视台山腰岭
闽侯县鸿尾乡电管站	null	地址：福建省福州市闽侯县鸿尾乡石佛头街
福州大成房地产开发有限公司	总经理：郭起耕	地址：福建省福州市闽侯县竹岐乡竹西村　　　　法定代表人：
闽侯县青口镇工业区供电所	null	地址：福建省福州市闽侯县青口镇工业区
福建省银华房地产开发股份有限公司闽侯办事处	联系人：林杰	地址：福建省福州市闽侯县甘蔗镇入城路１３６号联谊大厦２楼
闽侯县南通镇房地产开发公司	null	地址：福建省福州市闽侯县南通镇南通街６９号
福建嘉祥房地产开发有限公司	总经理：景源	地址：福建省福州市闽侯县荆溪镇光明村　　　　法定代表人：景源
福建友顺房地产开发有限公司	总经理：景源	地址：福建省福州市闽侯县荆溪镇港头村　　　　法定代表人：景源
闽侯县南屿镇房地产开发公司	总经理：许忠添	地址：福建省福州市闽侯县南屿镇新桥头柳厝街１号
福州鸿盛置业有限公司	总经理：翁振旺	地址：福建省福州市闽侯县上街镇
福州英泰物业管理有限公司	总经理：郑丽香	地址：福建省福州市闽侯县上街３１６国道旁
闽侯县房地产价格评估事务所	null	地址：福建省福州市闽侯县甘蔗镇八一八西路73号
福州永华房地产开发有限公司	null	地址：福建省福州市闽侯县尚干镇寅武江
福州文武房地产开发有限公司	null	地址：福建省福州市闽侯县上街镇沙堤村委会
闽侯县白沙团成自行车修理店G	null	地址：福建省福州市闽侯县白沙镇火车路8号
闽侯县竹岐建榕自行车修理店	null	地址：福建省福州市闽侯县竹岐乡竹岐村
闽侯县荆溪修武自行车修理店	null	地址：福建省福州市闽侯县荆溪镇坛石村
闽侯县竹岐建民自行车修理店G	null	地址：福建省福州市闽侯县竹岐乡竹岐街
闽侯县白沙立新自行车修理店G	null	地址：福建省福州市闽侯县白沙镇火车路
闽侯县荆溪郭荣自行车修理店	null	地址：福建省福州市闽侯县荆溪镇永丰村文山里
闽侯县白沙文光钟表修理店G	null	地址：福建省福州市闽侯县白沙镇白沙街
闽侯县南通仲武自行车修理店	null	地址：福建省福州市闽侯县南通镇南通街
闽侯县城关昌盛钟表修理店G	null	地址：福建省福州市闽侯县甘蔗镇街心路139号
闽侯县甘蔗东升机动车电器修理店G	null	地址：福建省福州市闽侯县甘蔗镇入城路中段
闽侯县殡仪服务站	站长：金小娥	地址：福建省福州市闽侯县甘蔗镇校园路１４５号
闽侯县江口元开五金修配厂G	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县青口电厂	null	地址：福建省福州市闽侯县青口工业路
闽侯县闽益自来水厂	厂长：陈斌	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县闽江供电站	null	地址：福建省福州市闽侯县闽江乡峡南村道头街８５号
福建省闽侯县白沙镇供电站	null	地址：福建省福州市闽侯县白沙镇礼堂边
闽侯县鸿尾埕头水电站	null	地址：福建省福州市闽侯县鸿尾乡埕头村
闽侯县上街供电站	null	地址：福建省福州市闽侯县上街镇红峰村
闽侯县南屿镇供电站	null	地址：福建省福州市闽侯县南屿镇南屿街１号
闽侯县甘蔗善华自行车修理配店G	null	地址：福建省福州市闽侯县甘蔗镇交通路8号
闽侯县南屿镇电管站	null	地址：福建省福州市闽侯县南屿镇
闽侯县住房资金管理中心	null	地址：福建省福州市闽侯县建设局内
闽侯县南屿公社双龙供电站	null	地址：福建省福州市闽侯县南屿镇龙泉村民委员会
闽侯县南屿镇尧沙供电站	站长：唐德水	地址：福建省福州市闽侯县南屿镇尧沙村
闽侯县青口镇自来水工程指挥部	老板：陈维华	地址：福建省福州市闽侯县青口镇政府内
福建省闽侯县青口明锦电器修理店	null	地址：福建省福州市闽侯县青口镇农贸市场
闽侯县甘蔗向前家电修理店	null	地址：福建省福州市闽侯县甘蔗镇街心路18号
闽侯县青口培清液化气灶具店G	null	地址：福建省福州市闽侯县青口镇青口街
闽侯县自来水公司劳动服务公司	null	地址：福建省福州市闽侯县甘蔗镇交通路１号
闽侯县南通恒安液化气灶具店	null	地址：福建省福州市闽侯县南通街
闽侯县南屿镇龙泉村自来水厂	厂长：陈则美	地址：福建省福州市闽侯县南屿镇龙泉村
闽侯县大湖贵峰自来水有限公司	总经理：刘遵松	地址：福建省福州市闽侯县大湖乡大湖街
闽侯县竹岐龙泉自来水厂	null	地址：福建省福州市闽侯县竹岐乡榕东村
闽侯县水利电力局南通自来水厂	null	地址：福建省福州市闽侯县南通镇帮道村
闽侯县鸿尾自来水厂	null	地址：福建省福州市闽侯县鸿尾乡石佛头街７９号
闽侯县荆溪则兴修车店	null	地址：福建省福州市闽侯县荆溪镇关口村
闽侯县竹岐家兴电器修理店	老板：庄启生	地址：福建省福州市闽侯县竹岐乡白龙村３１６号
福州快洁洗涤有限公司	null	地址：福建省福州市闽侯县上街镇厚美村
闽侯县荆溪铁岭修车店	null	地址：福建省福州市闽侯县荆溪镇洽浦村284号
闽侯县青口镇建贵修车店G	null	地址：福建省福州市闽侯县青口镇青圃村
闽侯县青口宏屿福栋修车店G	null	地址：福建省福州市闽侯县青口镇宏屿村33号
闽侯县白沙少玲补胎店G	null	地址：福建省福州市闽侯县白沙镇长坪园10号
闽侯县甘蔗鼎桓摩托修理店	老板：洪鼎桓	地址：福建省福州市闽侯县甘蔗镇化龙村福龙巷４８号
文豪燃气具特约维修店	null	地址：福建省福州市闽侯县甘蔗镇街心路32号
闽侯县甘蔗茂煌摩托车修理Ｇ	null	地址：福建省福州市闽侯县甘蔗镇入城路
闽侯县白沙兴隆摩托车修理店G	null	地址：福建省福州市闽侯县白沙镇下浦路
闽侯县祥谦镇枕峰洗车场	null	地址：福建省福州市闽侯县祥谦镇枕峰村
闽侯县闽江秋弟补胎店	null	地址：福建省福州市闽侯县闽江乡峡南村湾里40号
闽侯县白沙明照摩托车修理店G	null	地址：福建省福州市闽侯县白沙镇新街
闽侯县白沙良振补胎店G	null	地址：福建省福州市闽侯县白沙镇火车路37号
闽侯县白沙埕元仁明摩托修理店G	null	地址：福建省福州市闽侯县白沙镇埕元村
闽侯县白沙镇文化技术学校	校长：吴世敏	地址：福建省福州市闽侯县白沙镇安平路１３６号
闽侯县竹岐白龙小学	null	地址：福建省福州市闽侯县竹岐乡白龙村
闽侯县鸿尾乡文化技术学校	null	地址：福建省福州市闽侯县鸿尾乡影剧院
闽侯青圃职业中学工会委员会	null	地址：福建省福州市闽侯县青口镇青圃光园１号
闽侯建平职业中学教育工会委员会	null	地址：福建省福州市闽侯县上街镇建平村
闽侯县白沙新坡小学	校长：潘帮灿	地址：福建省福州市闽侯县白沙镇新坡村
闽侯县祥谦镇文化技术学校	校长：施文飞	地址：福建省福州市闽侯县祥谦镇
闽候县白沙汶溪小学	null	地址：福建省福州市闽侯县白沙镇汶溪村
闽候县廷坪中心小学	null	地址：福建省福州市闽侯县廷坪乡廷坪村
闽侯县竹岐中心幼儿园	联系人：谢敏华	地址：福建省福州市闽侯县竹岐乡竹岐街１３６号
闽侯县竹岐中心小学	null	地址：福建省福州市闽侯县竹岐乡竹岐村
闽侯县南通瓜山小学	null	地址：福建省福州市闽侯县南通镇瓜山村
闽侯县竹岐叶洋小学	null	地址：福建省福州市闽侯县竹岐叶洋村
闽候县廷坪罗桥小学	null	地址：福建省福州市闽侯县廷坪乡罗桥村
闽侯县沪屿中心小学	null	地址：福建省福州市闽侯县青口镇沪屿村沪屿街８３号
闽候县廷坪下洋小学	null	地址：福建省福州市闽侯县廷坪乡下洋村
闽侯县闽江乡中心幼儿园	null	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县青口镇中心幼儿园	null	地址：福建省福州市闽侯县青口镇青圃村
闽候县洋里中心幼儿园	null	地址：福建省福州市闽侯县洋里乡洋里村
福建省机动车驾驶员培训实验学校	null	地址：福建省福州市闽侯县荆溪镇桐口村
闽侯县劳动局职业技术培训中心	联系人：郑承荣	地址：福建省福州市闽侯县甘蔗镇街心路１９３号
闽候县廷坪文山岗小学	null	地址：福建省福州市闽侯县廷坪文山岗
闽侯县白沙中心幼儿园	null	地址：福建省福州市闽侯县白沙镇埕元新村
福建省高级技工学校	校长：高孔星	地址：福建省福州市闽侯县荆溪镇光明村下沙３１号
闽侯县大湖乡文化技术学校	null	地址：福建省福州市闽侯县大湖乡政府
闽侯县青圃职业中学养殖种植场	null	地址：福建省福州市闽侯县青口镇青圃村光园里１号
福建省闽侯县建平职业中学	null	地址：福建省福州市闽侯县上街镇廷平村
闽侯县农业机械化技术学校	校长：杨发铠	地址：福建省福州市闽侯县荆溪镇荆溪村
福建省闽侯县师范学校修缮车间	null	地址：福建省福州市闽侯县荆溪镇港头村连头１号
闽侯县南通中心幼儿园	null	地址：福建省福州市闽侯县南通苏坂东路４０号
福建省闽侯师范学校教育工会委员会	null	地址：福建省福州市闽侯县荆溪镇港头村
闽侯县私立百益幼儿园	联系人：刘景平	地址：福建省福州市闽侯县荆溪镇永丰村浦口
福建省闽侯师范学校服务部	null	地址：福建省福州市闽侯县荆溪镇港头村店头１号
闽侯县竹岐乡苏洋小学	null	地址：福建省福州市闽侯县竹岐乡苏洋村
闽侯县青口联丰小学	null	地址：福建省福州市闽侯县青口镇联丰村
闽侯县枕峰中心小学	校长：林光敏	地址：福建省福州市闽侯县祥谦镇枕峰村
闽侯县青口梅溪小学	null	地址：福建省福州市闽侯县青口镇梅溪村
闽侯县大湖大池小学	校长：王道遣	地址：福建省福州市闽侯县大湖乡大池村
闽侯县青口西塘小学	null	地址：福建省福州市闽侯县青口镇东台村西厝
闽侯县大湖茶坪小学	null	地址：福建省福州市闽侯县大湖乡茶坪村
闽候县廷坪蕉溪小学	null	地址：福建省福州市闽侯县廷坪乡蕉溪村
闽侯县南通文山小学	null	地址：福建省福州市闽侯县南通镇文山村
闽候县延坪盘岭小学	null	地址：福建省福州市闽侯县廷坪乡盘岭村
闽候县竹岐榕榕岸中心小学	null	地址：福建省福州市闽侯县竹岐乡榕岸村
闽侯县闽江闽亭小学	null	地址：福建省福州市闽侯县亭江镇闽亭村
闽候县廷坪溪坪小学	null	地址：福建省福州市闽侯县廷坪乡溪坪村
闽侯县南屿南前小学	null	地址：福建省福州市闽侯县南屿镇南前村
闽侯县闽江小学学区	null	地址：福建省福州市闽侯县闽江乡峡南村
闽侯县竹岐小学学区	null	地址：福建省福州市闽侯县竹岐乡竹岐村
闽侯县大湖双溪小学	校长：江东浩	地址：福建省福州市闽侯县大湖乡双溪村
闽侯县青口小学	null	地址：福建省福州市闽侯县青口镇青圃村新桥外６０号
闽侯县洋头中心小学	null	地址：福建省福州市闽侯县洋里乡洋头村
闽候县祥谦红南小学	null	地址：福建省福州市闽侯县祥谦镇红南村
闽候县尾桥中心小学	null	地址：福建省福州市闽侯县廷坪乡尾桥村
闽候县洋里新见小学	null	地址：福建省福州市闽侯县洋里乡新见村
闽侯县大湖乡桥下小学	null	地址：福建省福州市闽侯县大湖乡桥下村
闽侯县南屿双峰小学	null	地址：福建省福州市闽侯县南屿镇双峰村
闽侯县上街余盛小学	null	地址：福建省福州市闽侯县上街镇余盛村
闽候县洋里长基小学	null	地址：福建省福州市闽侯县洋里乡长基村
闽侯县青口东台小学	null	地址：福建省福州市闽侯县青口镇东台后厝
闽候县廷坪马厝小学	null	地址：福建省福州市闽侯县廷坪乡马厝村
闽侯县甘蔗青岐小学	null	地址：福建省福州市闽侯县甘蔗镇青岐村５７号
闽侯县青口陈元小学	null	地址：福建省福州市闽侯县青口镇东台村
闽侯县青口集东小学	null	地址：福建省福州市闽侯县青口镇后福村
闽侯县大湖洋山小学	null	地址：福建省福州市闽侯县大湖洋山
闽候县洋里茶苑小学	null	地址：福建省福州市闽侯县洋里乡茶苑村
闽侯县鸿尾大模小学	null	地址：福建省福州市闽侯县鸿尾乡大模村
福建省闽候县第七中学	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县城关中学	null	地址：福建省福州市闽侯县甘蔗镇里山前１号
闽侯县奎石中心小学	null	地址：福建省福州市闽侯县鸿尾乡奎石村
闽候县洋里安仁小学	null	地址：福建省福州市闽侯县洋里乡安仁村
福建省闽侯县鸿尾中学康乐工艺厂	null	地址：福建省福州市闽侯县鸿尾乡石佛头
福建省闽侯虎峰初级中学	null	地址：福建省福州市闽侯县祥谦镇双龙村
闽侯县青口小学学区	null	地址：福建省福州市闽侯县青口镇
福建省闽侯县鸿尾中学教育工会委员会	null	地址：福建省福州市闽侯县鸿尾乡石佛头街２１２号
福建省闽侯第三中学	null	地址：福建省福州市闽侯县南屿镇南旗村桥下路２３号
福建省闽侯县桐口中学教育工会委员会	null	地址：福建省福州市闽侯县荆溪镇桐口村
福建省闽侯第六中学工会委员会	null	地址：福建省福州市闽侯县上街镇上街村赤塘２７号
福建省闽侯荆溪中学教育工会委员会	联系人：杨康林	地址：福建省福州市闽侯县荆溪镇徐家村
闽侯私立民益中学	null	地址：福建省福州市闽侯县甘蔗镇校园路1号
闽侯县南通初级中学	校长：潘可人	地址：福建省福州市闽侯县南通镇苏坂东路３４号
闽侯私立闽山中学	null	地址：福建省福州市闽侯县南屿镇南前村
福建省闽侯上寨初级中学	null	地址：福建省福州市闽侯县白沙镇上寨村上寨６４号
闽候县洋里尚锦小学	null	地址：福建省福州市闽侯县洋里乡尚锦村
福建省闽侯江洋林业中学	null	地址：福建省福州市闽侯县江洋农场江洋村
福建省闽侯县南屿初级中学	null	地址：福建省福州市闽侯县南屿镇中溪村坎水１号
闽侯县青圃中心小学	null	地址：福建省福州市闽侯县青口镇青圃村宫下１号
福建省闽侯尚干初级中学	null	地址：福建省福州市闽侯县尚干镇五虎路
闽侯县小箬乡尚格小学	校长：周迎锋	地址：福建省福州市闽侯县小箬乡尚格村
闽侯县上?中心小学	null	地址：福建省福州市闽侯县竹岐乡半岭村
闽侯县竹岐春风小学	null	地址：福建省福州市闽侯县竹岐乡春风村
闽侯县南通莲湖小学	null	地址：福建省福州市闽侯县南通镇泽洋村
闽候县竹岐溪南小学	null	地址：福建省福州市闽侯县竹岐乡溪南村
闽候县上街马保小学	null	地址：福建省福州市闽侯县上街镇马保村
闽侯县南通古城小学	null	地址：福建省福州市闽侯县南通镇古城村
闽侯县南通第二中心小学	null	地址：福建省福州市闽侯县南通镇泽洋村
闽侯县实验小学工会委员会	null	地址：福建省福州市闽侯县甘蔗镇校园路２号
闽侯县罗洋中心小学	null	地址：福建省福州市闽侯县竹岐乡罗洋村
闽侯县洋里乡绅带小学	null	地址：福建省福州市闽侯县洋里乡绅带村
闽侯县上街美岐小学	null	地址：福建省福州市闽侯县上街镇美岐村
闽候县闽江胜利小学	null	地址：福建省福州市闽侯县闽江乡
闽侯县青口前洋小学	null	地址：福建省福州市闽侯县青口镇前洋村
闽侯县大义中心小学	null	地址：福建省福州市闽侯县青口镇大义后街村马路街３１号
闽侯县小箬中心小学	校长：陈晓光	地址：福建省福州市闽侯县小箬乡小箬村
闽侯县大湖六锦小学	校长：刘国胜	地址：福建省福州市闽侯县大湖乡六锦村
闽侯县南屿桐南小学	null	地址：福建省福州市闽侯县南屿镇桐南村
闽侯县南通银安小学	null	地址：福建省福州市闽侯县南通镇银安村
闽候县洋里梧溪小学	null	地址：福建省福州市闽侯县洋里乡梧溪村
福建省闽侯第三中学工会委员会	null	地址：福建省福州市闽侯县南屿镇南旗村桥下路２３号
闽候县白沙上岐小学	null	地址：福建省福州市闽侯县白沙镇上岐村82号
闽侯县孔元中心小学	null	地址：福建省福州市闽侯县白沙镇孔元村
闽侯县鸿尾青马小学	校长：陈祖芬	地址：福建省福州市闽侯县鸿尾乡青马村
闽侯县白沙洋石小学	null	地址：福建省福州市闽侯县白沙镇洋石小学
闽候县廷坪洪山小学	null	地址：福建省福州市闽侯县廷坪乡洪山村
闽侯县青口镜上小学	null	地址：福建省福州市闽侯县青口镇镜上村
闽侯县南通洲头小学	null	地址：福建省福州市闽侯县南通镇洲头村
闽侯县荆溪洽浦小学	null	地址：福建省福州市闽侯县荆溪镇洽浦村
闽侯县上街岐安小学	null	地址：福建省福州市闽侯县上街镇岐安村
闽侯县上街马排小学	null	地址：福建省福州市闽侯县上街镇马排村
闽候县白沙大濑小学	null	地址：福建省福州市闽侯县白沙镇大濑村
闽候县洋里张际小学	null	地址：福建省福州市闽侯县
闽候县洋里岭兜小学	null	地址：福建省福州市闽侯县洋里乡岭兜村
闽侯县白沙汤浣小学	null	地址：福建省福州市闽侯县白沙镇汤院村
闽候县廷坪黄埔小学	null	地址：福建省福州市闽侯县廷坪乡黄埔村
闽侯县青口宏屿小学	null	地址：福建省福州市闽侯县青口镇宏二村
闽侯县南通泽苗小学	null	地址：福建省福州市闽侯县南通镇泽苗村
闽侯县桐口中心小学	null	地址：福建省福州市闽侯县荆溪镇桐口村
闽侯县南通上洲小学	null	地址：福建省福州市闽侯县南通镇上洲村
闽侯县南通马腾小学	null	地址：福建省福州市闽侯县南通镇马腾村
闽侯县小箬小学学区	联系人：林宜瑜	地址：福建省福州市闽侯县小箬乡小箬村
闽候县廷坪汶合中心小学	null	地址：福建省福州市闽侯县廷坪汶合村
闽候县荆溪六?小学	null	地址：福建省福州市闽侯县荆溪镇六　村
闽侯县青口傅筑小学	null	地址：福建省福州市闽侯县青口镇傅筑村
闽侯县鸿尾乡官路小学	null	地址：福建省福州市闽侯县鸿尾乡官路村
闽侯县大湖后洋小学	校长：严希津	地址：福建省福州市闽侯县大湖乡后坪村
福州清水食品有限公司	总经理：郑钟杜	地址：福建省福州市闽侯县祥谦镇兰圃工业区
闽侯县南屿晨光紧固件厂	null	地址：福建省福州市闽侯县南屿镇南井村上井８９号
闽侯县荆溪维萃豆奶厂	null	地址：福建省福州市闽侯县荆溪镇关口村277号
闽侯县鸿尾乡青坑蜜饯厂	null	地址：福建省福州市闽侯县云尾乡青马村２号
福建省熔新机床厂劳动服务公司	null	地址：福建省福州市闽侯县白沙镇孔源村１６８号
福建省闽侯二轻工贸总公司竹木制品厂	厂长：黄宝童	地址：福建省福州市闽侯县甘蔗镇校园路
福建省闽侯县秋龙工艺美术厂	null	地址：福建省福州市闽侯县祥谦镇中院村
福建省闽侯县志达工艺厂	null	地址：福建省福州市闽侯县荆溪镇绿家村５号
福建省闽侯县荆溪桐口福达工艺厂	null	地址：福建省福州市闽侯县荆溪镇桐口村后池
福建省闽侯县华隆工艺厂	null	地址：福建省福州市闽侯县华隆工艺厂
闽侯县荆溪飞宏工艺厂	null	地址：福建省福州市闽侯县荆溪光明村下沙路30号
闽侯县鸿尾永兴工艺厂G	null	地址：福建省福州市闽侯县鸿尾乡超乾村
闽侯县江口盛荣织布厂	null	地址：福建省福州市闽侯县南屿镇江口村
福州恒发织造有限公司	null	地址：福建省福州市闽侯县甘蔗镇前后街５号
闽侯县砂轮厂工会委员会	null	地址：福建省福州市闽侯县白沙镇新街１４８号
闽侯县南屿秀荣美术工艺厂	null	地址：福建省福州市闽侯县南屿镇上井村
闽侯县甘蔗闽全鞋帽厂	null	地址：福建省福州市闽侯县甘蔗镇火车站
闽侯县南屿江口榕丰织布厂	null	地址：福建省福州市闽侯县南屿镇江口村青州
闽侯县荆溪华清工艺品厂	null	地址：福建省福州市闽侯县荆溪镇桐口村
闽侯县厚屿观大工艺厂	厂长：林观振	地址：福建省福州市闽侯县荆溪镇厚屿新街
闽侯县芝田建筑材料厂	null	地址：福建省福州市闽侯县南屿镇芝田村
闽侯县南屿江口东兴纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村过透
闽侯县南屿色织厂	null	地址：福建省福州市闽侯县南屿镇水西１号
闽侯县甘蔗镇石料厂	null	地址：福建省福州市闽侯县甘蔗镇五福村
福州诚中砂石有限公司竹岐砂石加工厂	null	地址：福建省福州市闽侯县竹岐乡竹西村
